locus_tag	ftype	length_bp	gene	EC_number	COG	product
HFDHAJOI_00027	CDS	2088	pbpC		COG4953	Penicillin-binding protein 1C
HFDHAJOI_00028	CDS	5445	yfhM		COG2373	Alpha-2-macroglobulin
HFDHAJOI_00029	CDS	921	gcvA_1			Glycine cleavage system transcriptional activator
HFDHAJOI_00030	CDS	1188	mmgC	1.3.99.-	COG1960	Acyl-CoA dehydrogenase
HFDHAJOI_00031	CDS	999				hypothetical protein
HFDHAJOI_00032	CDS	2079	glgX_1	3.2.1.-	COG1523	Glycogen operon protein GlgX 
HFDHAJOI_00033	CDS	192				hypothetical protein
HFDHAJOI_00034	CDS	789		1.1.1.119	COG1028	Glucose 1-dehydrogenase
HFDHAJOI_00035	CDS	492	srpB_1		COG1285	Protein SrpB
HFDHAJOI_00036	CDS	387				hypothetical protein
HFDHAJOI_00037	CDS	393				hypothetical protein
HFDHAJOI_00038	CDS	621	ribC	2.5.1.9	COG0307	Riboflavin synthase
HFDHAJOI_00039	CDS	930	pfkB	2.7.1.11	COG1105	Putative ATP-dependent 6-phosphofructokinase isozyme 2
HFDHAJOI_00040	CDS	1179	tolQ_1			Tol-Pal system protein TolQ
HFDHAJOI_00041	CDS	486	exbD		COG0848	Biopolymer transport protein ExbD
HFDHAJOI_00042	CDS	930				hypothetical protein
HFDHAJOI_00043	CDS	1542	gabD	1.2.1.79	COG1012	Succinate-semialdehyde dehydrogenase [NADP(+)]
HFDHAJOI_00044	CDS	1284	puuB_1	1.4.3.-		Gamma-glutamylputrescine oxidoreductase
HFDHAJOI_00045	CDS	894	gcvA_2			Glycine cleavage system transcriptional activator
HFDHAJOI_00046	CDS	408				hypothetical protein
HFDHAJOI_00047	CDS	2928	argD	2.6.1.17		Acetylornithine/succinyldiaminopimelate aminotransferase
HFDHAJOI_00048	CDS	885	purU	3.5.1.10	COG0788	Formyltetrahydrofolate deformylase
HFDHAJOI_00049	CDS	1185	gumH	2.4.1.252	COG0438	GDP-mannose:cellobiosyl-diphosphopolyprenol alpha-mannosyltransferase
HFDHAJOI_00050	CDS	1122	gumK	2.4.1.264		UDP-glucuronate:glycolipid 2-beta-glucuronosyltransferase
HFDHAJOI_00051	CDS	2469				hypothetical protein
HFDHAJOI_00052	CDS	966				hypothetical protein
HFDHAJOI_00053	CDS	909		6.2.1.-	COG0172	Amino acid--[acyl-carrier-protein] ligase
HFDHAJOI_00054	CDS	1182	Acd	1.3.99.32		Glutaryl-CoA dehydrogenase
HFDHAJOI_00055	CDS	252			COG0236	Aminoacyl carrier protein
HFDHAJOI_00056	CDS	1047	kamA	5.4.3.2		L-lysine 2,3-aminomutase
HFDHAJOI_00057	CDS	1068	epmA	6.3.1.-	COG2269	Elongation factor P--(R)-beta-lysine ligase
HFDHAJOI_00058	CDS	570	efp		COG0231	Elongation factor P
HFDHAJOI_00059	CDS	231				hypothetical protein
HFDHAJOI_00060	CDS	927	oxyR_1			Hydrogen peroxide-inducible genes activator
HFDHAJOI_00061	CDS	1485	davD_1	1.2.1.-	COG1012	Glutarate-semialdehyde dehydrogenase
HFDHAJOI_00062	CDS	1281	puuE	2.6.1.19	COG0160	4-aminobutyrate aminotransferase PuuE
HFDHAJOI_00063	CDS	780				hypothetical protein
HFDHAJOI_00064	CDS	1425	cusC		COG1538	Cation efflux system protein CusC
HFDHAJOI_00065	CDS	3120	acrB		COG0841	Multidrug efflux pump subunit AcrB
HFDHAJOI_00066	CDS	1212	mdtE_1			Multidrug resistance protein MdtE
HFDHAJOI_00067	CDS	663				hypothetical protein
HFDHAJOI_00068	CDS	1056	purC_1	6.3.2.6	COG0152	Phosphoribosylaminoimidazole-succinocarboxamide synthase
HFDHAJOI_00069	CDS	684				hypothetical protein
HFDHAJOI_00070	CDS	213				hypothetical protein
HFDHAJOI_00071	tRNA	77				tRNA-Ile(gat)
HFDHAJOI_00072	tRNA	76				tRNA-Ala(tgc)
HFDHAJOI_00073	tRNA	77				tRNA-Met(cat)
HFDHAJOI_00074	CDS	354				hypothetical protein
HFDHAJOI_00075	CDS	687				IS3 family transposase ISRpa2
HFDHAJOI_00076	CDS	336				hypothetical protein
HFDHAJOI_00077	CDS	369	arlR		COG0745	Response regulator ArlR
HFDHAJOI_00078	CDS	2061	cheA_1	2.7.13.3	COG0643	Chemotaxis protein CheA
HFDHAJOI_00079	CDS	510				hypothetical protein
HFDHAJOI_00080	CDS	2583				hypothetical protein
HFDHAJOI_00081	CDS	2208				hypothetical protein
HFDHAJOI_00082	CDS	492	cheW_1		COG0835	Chemotaxis protein CheW
HFDHAJOI_00083	CDS	861	cheR_1	2.1.1.80		Chemotaxis protein methyltransferase
HFDHAJOI_00084	CDS	1092	cheB3	3.1.1.61	COG2201	Protein-glutamate methylesterase/protein-glutamine glutaminase of group 3 operon
HFDHAJOI_00085	CDS	1743				hypothetical protein
HFDHAJOI_00086	CDS	1353	qseC	2.7.13.3		Sensor protein QseC
HFDHAJOI_00087	CDS	669	qseB_1			Transcriptional regulatory protein QseB
HFDHAJOI_00088	CDS	267				hypothetical protein
HFDHAJOI_00089	CDS	540				hypothetical protein
HFDHAJOI_00090	CDS	1638	eptA	2.7.-.-	COG2194	Phosphoethanolamine transferase EptA
HFDHAJOI_00091	CDS	1917				hypothetical protein
HFDHAJOI_00092	CDS	1710	kdpA		COG2060	Potassium-transporting ATPase potassium-binding subunit
HFDHAJOI_00093	CDS	2037	kdpB	7.2.2.6	COG2216	Potassium-transporting ATPase ATP-binding subunit
HFDHAJOI_00094	CDS	564	kdpC		COG2156	Potassium-transporting ATPase KdpC subunit
HFDHAJOI_00095	CDS	2688	kdpD	2.7.13.3	COG2205	Sensor protein KdpD
HFDHAJOI_00096	CDS	690	kdpE_1		COG0745	KDP operon transcriptional regulatory protein KdpE
HFDHAJOI_00097	CDS	1635	dhaK	2.7.1.29		Dihydroxyacetone kinase
HFDHAJOI_00098	CDS	996	malK_1	7.5.2.1		Maltose/maltodextrin import ATP-binding protein MalK
HFDHAJOI_00099	CDS	1098	sugC_1	3.6.3.-	COG3839	Trehalose import ATP-binding protein SugC
HFDHAJOI_00100	CDS	189				hypothetical protein
HFDHAJOI_00101	CDS	945				hypothetical protein
HFDHAJOI_00102	CDS	948	melD_1		COG1175	Melibiose/raffinose/stachyose import permease protein MelD
HFDHAJOI_00103	CDS	1344				hypothetical protein
HFDHAJOI_00104	CDS	1023	purR_1			HTH-type transcriptional repressor PurR
HFDHAJOI_00105	CDS	3201	oqxB2			multidrug efflux RND transporter permease subunit OqxB2
HFDHAJOI_00106	CDS	1179	bepF_1			Efflux pump periplasmic linker BepF
HFDHAJOI_00107	CDS	795	nlhH	3.1.1.1	COG0657	Carboxylesterase NlhH
HFDHAJOI_00108	CDS	945	dmlR_1			HTH-type transcriptional regulator DmlR
HFDHAJOI_00109	CDS	1596	ywrD	2.3.2.2	COG0405	Glutathione hydrolase-like YwrD proenzyme
HFDHAJOI_00110	CDS	693	occM_1			Octopine transport system permease protein OccM
HFDHAJOI_00111	CDS	714	occQ			Octopine transport system permease protein OccQ
HFDHAJOI_00112	CDS	852	occT			Octopine-binding periplasmic protein
HFDHAJOI_00113	CDS	675	mcbR_1		COG1802	HTH-type transcriptional regulator McbR
HFDHAJOI_00114	CDS	861	yofA		COG0583	HTH-type transcriptional regulator YofA
HFDHAJOI_00115	CDS	993				hypothetical protein
HFDHAJOI_00116	CDS	774				hypothetical protein
HFDHAJOI_00117	CDS	2046				hypothetical protein
HFDHAJOI_00118	CDS	2304				hypothetical protein
HFDHAJOI_00119	CDS	2250	bcsA	2.4.1.12	COG1215	Cellulose synthase catalytic subunit [UDP-forming]
HFDHAJOI_00120	CDS	906	dmlR_2			HTH-type transcriptional regulator DmlR
HFDHAJOI_00121	CDS	666				hypothetical protein
HFDHAJOI_00122	CDS	897				hypothetical protein
HFDHAJOI_00123	CDS	396				hypothetical protein
HFDHAJOI_00124	CDS	1050	egl_1	3.2.1.4		Endoglucanase
HFDHAJOI_00125	CDS	981	rhaS_1			HTH-type transcriptional activator RhaS
HFDHAJOI_00126	CDS	2232				hypothetical protein
HFDHAJOI_00127	CDS	2319				hypothetical protein
HFDHAJOI_00128	CDS	1089	cmcAX	3.2.1.4	COG3405	putative endoglucanase
HFDHAJOI_00129	CDS	1926				hypothetical protein
HFDHAJOI_00130	CDS	504	yciF_1		COG3685	Protein YciF
HFDHAJOI_00131	CDS	2145	katE	1.11.1.6		Catalase C
HFDHAJOI_00132	CDS	393	cckA_1			Sensor kinase CckA
HFDHAJOI_00133	CDS	1053		2.7.13.3	COG3920	Blue-light-activated histidine kinase 2
HFDHAJOI_00134	CDS	318				hypothetical protein
HFDHAJOI_00135	CDS	612				hypothetical protein
HFDHAJOI_00136	CDS	1086				hypothetical protein
HFDHAJOI_00137	CDS	531				hypothetical protein
HFDHAJOI_00138	CDS	804				hypothetical protein
HFDHAJOI_00139	CDS	372				hypothetical protein
HFDHAJOI_00140	CDS	474				hypothetical protein
HFDHAJOI_00141	CDS	1965				hypothetical protein
HFDHAJOI_00142	CDS	549				hypothetical protein
HFDHAJOI_00143	CDS	2067	pepO	3.4.24.-	COG3590	Neutral endopeptidase
HFDHAJOI_00144	CDS	339				hypothetical protein
HFDHAJOI_00145	CDS	699				hypothetical protein
HFDHAJOI_00146	CDS	915	gcvA_3			Glycine cleavage system transcriptional activator
HFDHAJOI_00147	CDS	1047				hypothetical protein
HFDHAJOI_00148	CDS	1305	prsE_1			Type I secretion system membrane fusion protein PrsE
HFDHAJOI_00149	CDS	2094				hypothetical protein
HFDHAJOI_00150	CDS	1722	prsD_1			Type I secretion system ATP-binding protein PrsD
HFDHAJOI_00151	CDS	9678				hypothetical protein
HFDHAJOI_00152	CDS	1350				hypothetical protein
HFDHAJOI_00153	CDS	657	nreC_1		COG2197	Oxygen regulatory protein NreC
HFDHAJOI_00154	CDS	879	npcC_1	1.13.11.37		Hydroxyquinol 1,2-dioxygenase
HFDHAJOI_00155	CDS	1755	tfdB	1.14.13.20		2,4-dichlorophenol 6-monooxygenase
HFDHAJOI_00156	CDS	1116				hypothetical protein
HFDHAJOI_00157	CDS	864	livH_1		COG0559	High-affinity branched-chain amino acid transport system permease protein LivH
HFDHAJOI_00158	CDS	720	livF_1		COG0410	High-affinity branched-chain amino acid transport ATP-binding protein LivF
HFDHAJOI_00159	CDS	720	lptB_1	3.6.3.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
HFDHAJOI_00160	CDS	1296				hypothetical protein
HFDHAJOI_00161	CDS	1056	linF	1.3.1.-	COG1454	Maleylacetate reductase
HFDHAJOI_00162	CDS	864	npcC_2	1.13.11.37		Hydroxyquinol 1,2-dioxygenase
HFDHAJOI_00163	CDS	951	tsaR_1			HTH-type transcriptional regulator TsaR
HFDHAJOI_00164	CDS	1275				hypothetical protein
HFDHAJOI_00165	CDS	663				hypothetical protein
HFDHAJOI_00166	CDS	957	linE	1.13.11.66		Chlorohydroquinone/hydroquinone 1,2-dioxygenase
HFDHAJOI_00167	CDS	978	tsaR_2			HTH-type transcriptional regulator TsaR
HFDHAJOI_00168	CDS	1311	ugpB_1		COG1653	sn-glycerol-3-phosphate-binding periplasmic protein UgpB
HFDHAJOI_00169	CDS	852	ngcG_1		COG0395	Diacetylchitobiose uptake system permease protein NgcG
HFDHAJOI_00170	CDS	882	ugpA_1		COG1175	sn-glycerol-3-phosphate transport system permease protein UgpA
HFDHAJOI_00171	CDS	1098	malK_2	7.5.2.1		Maltose/maltodextrin import ATP-binding protein MalK
HFDHAJOI_00172	CDS	1509	abfA	3.2.1.55		Intracellular exo-alpha-(1->5)-L-arabinofuranosidase
HFDHAJOI_00173	CDS	921				hypothetical protein
HFDHAJOI_00174	CDS	1062	tsaM1	1.14.14.-		Toluene-4-sulfonate monooxygenase system iron-sulfur subunit TsaM1
HFDHAJOI_00175	CDS	744	glaR		COG1802	HTH-type transcriptional repressor GlaR
HFDHAJOI_00176	CDS	984		1.14.13.239		Carnitine monooxygenase reductase subunit
HFDHAJOI_00177	CDS	1017	rafR_1			HTH-type transcriptional regulator RafR
HFDHAJOI_00178	CDS	1044	iolG_1	1.1.1.369		Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase
HFDHAJOI_00179	CDS	903				hypothetical protein
HFDHAJOI_00180	CDS	1236	cycB		COG2182	Cyclodextrin-binding protein
HFDHAJOI_00181	CDS	903	melD_2		COG1175	Melibiose/raffinose/stachyose import permease protein MelD
HFDHAJOI_00182	CDS	828	dasC_1		COG0395	Diacetylchitobiose uptake system permease protein DasC
HFDHAJOI_00183	CDS	1080	sugC_2	3.6.3.-	COG3839	Trehalose import ATP-binding protein SugC
HFDHAJOI_00184	CDS	1308	glnT	6.3.1.2		Glutamine synthetase
HFDHAJOI_00185	CDS	1329	fni	5.3.3.2		Isopentenyl-diphosphate delta-isomerase
HFDHAJOI_00186	CDS	687				hypothetical protein
HFDHAJOI_00187	CDS	906	purF_1	2.4.2.14		Amidophosphoribosyltransferase
HFDHAJOI_00188	CDS	660				hypothetical protein
HFDHAJOI_00189	CDS	1047				hypothetical protein
HFDHAJOI_00190	CDS	1056				hypothetical protein
HFDHAJOI_00191	CDS	1290	siaM_2		COG1593	Sialic acid TRAP transporter large permease protein SiaM
HFDHAJOI_00192	CDS	591				hypothetical protein
HFDHAJOI_00193	CDS	519	ntaB	1.5.1.42		FMN reductase (NADH) NtaB
HFDHAJOI_00194	CDS	894	ydhF	1.-.-.-	COG4989	Oxidoreductase YdhF
HFDHAJOI_00195	CDS	1158	ssuD	1.14.14.5	COG2141	Alkanesulfonate monooxygenase
HFDHAJOI_00196	CDS	750	nagR_1		COG2188	HTH-type transcriptional repressor NagR
HFDHAJOI_00197	CDS	1116	iolG_2	1.1.1.369		Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase
HFDHAJOI_00198	CDS	1773	treZ	3.2.1.141	COG0296	Malto-oligosyltrehalose trehalohydrolase
HFDHAJOI_00199	CDS	924				hypothetical protein
HFDHAJOI_00200	CDS	1890	dxs_1	2.2.1.7	COG1154	1-deoxy-D-xylulose-5-phosphate synthase
HFDHAJOI_00201	CDS	390			COG3474	Cytochrome c2
HFDHAJOI_00202	CDS	447	tspO		COG3476	Tryptophan-rich sensory protein
HFDHAJOI_00203	CDS	273				hypothetical protein
HFDHAJOI_00204	CDS	1200	kmo	1.14.13.9		Kynurenine 3-monooxygenase
HFDHAJOI_00205	CDS	1365	pucC_1			Protein PucC
HFDHAJOI_00206	CDS	924	menA	2.5.1.74		1,4-dihydroxy-2-naphthoate octaprenyltransferase
HFDHAJOI_00207	CDS	1452				hypothetical protein
HFDHAJOI_00208	CDS	954				hypothetical protein
HFDHAJOI_00209	CDS	546				hypothetical protein
HFDHAJOI_00210	CDS	1302	bchN	1.3.7.7	COG2710	Light-independent protochlorophyllide reductase subunit N
HFDHAJOI_00211	CDS	1557	chlB	1.3.7.7	COG2710	Light-independent protochlorophyllide reductase subunit B
HFDHAJOI_00212	CDS	3774				hypothetical protein
HFDHAJOI_00213	CDS	930	bchL	1.3.7.7	COG1348	Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein
HFDHAJOI_00214	CDS	717	bchM	2.1.1.11	COG2227	Magnesium-protoporphyrin O-methyltransferase
HFDHAJOI_00215	CDS	1440	pucC_2			Protein PucC
HFDHAJOI_00216	CDS	780	puhA			Reaction center protein H chain
HFDHAJOI_00217	CDS	675				hypothetical protein
HFDHAJOI_00218	CDS	495				hypothetical protein
HFDHAJOI_00219	CDS	306				hypothetical protein
HFDHAJOI_00220	CDS	1110				hypothetical protein
HFDHAJOI_00221	CDS	900				hypothetical protein
HFDHAJOI_00222	CDS	1218	hemA_1	2.3.1.37	COG0156	5-aminolevulinate synthase
HFDHAJOI_00223	CDS	534	idi	5.3.3.2	COG1443	Isopentenyl-diphosphate Delta-isomerase
HFDHAJOI_00224	CDS	1176	pufC			Photosynthetic reaction center cytochrome c subunit
HFDHAJOI_00225	CDS	969	pufM			Reaction center protein M chain
HFDHAJOI_00226	CDS	846	pufL			Reaction center protein L chain
HFDHAJOI_00227	CDS	198				hypothetical protein
HFDHAJOI_00228	CDS	222				hypothetical protein
HFDHAJOI_00229	CDS	234				hypothetical protein
HFDHAJOI_00230	CDS	1452	bchZ	1.3.7.15	COG2710	Chlorophyllide reductase subunit Z
HFDHAJOI_00231	CDS	1581	bchY	1.3.7.15		Chlorophyllide reductase 52.5 kDa chain
HFDHAJOI_00232	CDS	1008	bchX	1.3.7.15	COG1348	Chlorophyllide reductase 35.5 kDa chain
HFDHAJOI_00233	CDS	939				hypothetical protein
HFDHAJOI_00234	CDS	1197	crtF	2.1.1.210		Demethylspheroidene O-methyltransferase
HFDHAJOI_00235	CDS	867		2.5.1.10		Farnesyl diphosphate synthase
HFDHAJOI_00236	CDS	1578	crtD	1.3.99.27		Hydroxyneurosporene desaturase
HFDHAJOI_00237	CDS	780	crtC	4.2.1.131		Acyclic carotenoid 1,2-hydratase
HFDHAJOI_00238	CDS	165				hypothetical protein
HFDHAJOI_00239	CDS	1167				hypothetical protein
HFDHAJOI_00240	CDS	1572	crtI	1.3.99.28	COG1233	Phytoene desaturase (neurosporene-forming)
HFDHAJOI_00241	CDS	909			COG0596	putative protein
HFDHAJOI_00242	CDS	1833	bchD	6.6.1.1	COG1240	Magnesium-chelatase 60 kDa subunit
HFDHAJOI_00243	CDS	1038	bchI	6.6.1.1	COG1239	Magnesium-chelatase 38 kDa subunit
HFDHAJOI_00244	CDS	3246	czcA_1			Cobalt-zinc-cadmium resistance protein CzcA
HFDHAJOI_00245	CDS	978	mdtA_1			Multidrug resistance protein MdtA
HFDHAJOI_00246	CDS	201				hypothetical protein
HFDHAJOI_00247	CDS	318	ygaV_1		COG0640	putative HTH-type transcriptional regulator YgaV
HFDHAJOI_00248	CDS	336	blh_1	3.-.-.-	COG0491	Beta-lactamase hydrolase-like protein
HFDHAJOI_00249	CDS	891				hypothetical protein
HFDHAJOI_00250	CDS	471	cheW_2		COG0835	Chemotaxis protein CheW
HFDHAJOI_00251	CDS	225				hypothetical protein
HFDHAJOI_00252	CDS	1089	algL_1	4.2.2.3		Alginate lyase
HFDHAJOI_00253	CDS	2748				hypothetical protein
HFDHAJOI_00254	CDS	636				hypothetical protein
HFDHAJOI_00255	CDS	1371	algX	2.3.1.-		Alginate biosynthesis protein AlgX
HFDHAJOI_00256	CDS	783				hypothetical protein
HFDHAJOI_00257	CDS	1128	algJ	2.3.1.-		putative alginate O-acetylase AlgJ
HFDHAJOI_00258	CDS	1449	patA	2.3.1.-	COG1696	Peptidoglycan O-acetyltransferase
HFDHAJOI_00259	CDS	1509				hypothetical protein
HFDHAJOI_00260	CDS	1413	algA_1		COG0662	Alginate biosynthesis protein AlgA
HFDHAJOI_00261	CDS	1122				hypothetical protein
HFDHAJOI_00262	CDS	1476	alg8_1	2.4.1.33	COG1215	Mannuronan synthase
HFDHAJOI_00263	CDS	1320	algD_1	1.1.1.132	COG1004	GDP-mannose 6-dehydrogenase
HFDHAJOI_00264	CDS	645	nreC_2		COG2197	Oxygen regulatory protein NreC
HFDHAJOI_00265	CDS	792				hypothetical protein
HFDHAJOI_00266	CDS	963	ytfQ			ABC transporter periplasmic-binding protein YtfQ
HFDHAJOI_00267	CDS	1545	fruK_1	7.5.2.-	COG1129	Fructose import ATP-binding protein FruK
HFDHAJOI_00268	CDS	1044	ytfT			Inner membrane ABC transporter permease protein YtfT
HFDHAJOI_00269	CDS	981	yjfF_1			Inner membrane ABC transporter permease protein YjfF
HFDHAJOI_00270	CDS	738	nanR_1			HTH-type transcriptional repressor NanR
HFDHAJOI_00271	CDS	714	lutR_2		COG2186	HTH-type transcriptional regulator LutR
HFDHAJOI_00272	CDS	1089	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
HFDHAJOI_00273	CDS	1290				hypothetical protein
HFDHAJOI_00274	CDS	906	potB_1		COG1176	Spermidine/putrescine transport system permease protein PotB
HFDHAJOI_00275	CDS	819	ydcV_1			Inner membrane ABC transporter permease protein YdcV
HFDHAJOI_00276	CDS	744	hyuA_1	5.1.99.5	COG4126	Hydantoin racemase
HFDHAJOI_00277	CDS	852				hypothetical protein
HFDHAJOI_00278	CDS	501				hypothetical protein
HFDHAJOI_00279	CDS	933	nagK_1	2.7.1.59	COG1940	N-acetyl-D-glucosamine kinase
HFDHAJOI_00280	CDS	1185	nagA	3.5.1.25	COG1820	N-acetylglucosamine-6-phosphate deacetylase
HFDHAJOI_00281	CDS	1023	glmS_1	2.6.1.16	COG0449	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
HFDHAJOI_00282	CDS	768	nagR_2		COG2188	HTH-type transcriptional repressor NagR
HFDHAJOI_00283	CDS	1185	yteT	1.-.-.-	COG0673	Putative oxidoreductase YteT
HFDHAJOI_00284	CDS	885	melD_3		COG1175	Melibiose/raffinose/stachyose import permease protein MelD
HFDHAJOI_00285	CDS	861	ycjP		COG0395	Inner membrane ABC transporter permease protein YcjP
HFDHAJOI_00286	CDS	1221				hypothetical protein
HFDHAJOI_00287	CDS	1131	malK_3	7.5.2.1		Maltose/maltodextrin import ATP-binding protein MalK
HFDHAJOI_00288	CDS	435				hypothetical protein
HFDHAJOI_00289	CDS	1089		4.1.2.42		D-threonine aldolase
HFDHAJOI_00290	CDS	1482				hypothetical protein
HFDHAJOI_00291	CDS	492				hypothetical protein
HFDHAJOI_00292	CDS	387	yabJ	3.5.99.10	COG0251	2-iminobutanoate/2-iminopropanoate deaminase
HFDHAJOI_00293	CDS	867	hexR_1		COG1737	HTH-type transcriptional regulator HexR
HFDHAJOI_00294	CDS	777	bacC_1	1.1.1.385		Dihydroanticapsin 7-dehydrogenase
HFDHAJOI_00295	CDS	1932	exoI	3.2.1.52	COG3525	Beta-hexosaminidase
HFDHAJOI_00296	CDS	1440				hypothetical protein
HFDHAJOI_00297	CDS	1212				hypothetical protein
HFDHAJOI_00298	CDS	750	cutC			Copper homeostasis protein CutC
HFDHAJOI_00299	CDS	1974				hypothetical protein
HFDHAJOI_00300	CDS	597				hypothetical protein
HFDHAJOI_00301	CDS	1206	pcaF	2.3.1.174	COG0183	Beta-ketoadipyl-CoA thiolase
HFDHAJOI_00302	CDS	702	pcaJ	2.8.3.6	COG2057	3-oxoadipate CoA-transferase subunit B
HFDHAJOI_00303	CDS	708	pcaI	2.8.3.6	COG1788	3-oxoadipate CoA-transferase subunit A
HFDHAJOI_00304	CDS	762	pcaR_1		COG1414	Pca regulon regulatory protein
HFDHAJOI_00305	CDS	924	gbpR_1			HTH-type transcriptional regulator GbpR
HFDHAJOI_00306	CDS	810	catD_1	3.1.1.24	COG0596	3-oxoadipate enol-lactonase 2
HFDHAJOI_00307	CDS	420				hypothetical protein
HFDHAJOI_00308	CDS	750	pcaH	1.13.11.3	COG3485	Protocatechuate 3,4-dioxygenase beta chain
HFDHAJOI_00309	CDS	615	pcaG	1.13.11.3	COG3485	Protocatechuate 3,4-dioxygenase alpha chain
HFDHAJOI_00310	CDS	1050	pcaB	5.5.1.2	COG0015	3-carboxy-cis,cis-muconate cycloisomerase
HFDHAJOI_00311	CDS	195				hypothetical protein
HFDHAJOI_00312	CDS	684				hypothetical protein
HFDHAJOI_00313	CDS	432				hypothetical protein
HFDHAJOI_00314	CDS	990		1.6.3.5	COG3380	Renalase
HFDHAJOI_00315	CDS	897	nhaR		COG0583	Transcriptional activator protein NhaR
HFDHAJOI_00316	CDS	1584	ndhB_1	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit 2, chloroplastic
HFDHAJOI_00317	CDS	2415				hypothetical protein
HFDHAJOI_00318	CDS	1134				hypothetical protein
HFDHAJOI_00319	CDS	1512				hypothetical protein
HFDHAJOI_00320	CDS	1257				hypothetical protein
HFDHAJOI_00321	CDS	1113	msiK	7.5.2.-	COG3839	Diacetylchitobiose uptake system ATP-binding protein MsiK
HFDHAJOI_00322	CDS	909				hypothetical protein
HFDHAJOI_00323	CDS	885	lacF_1			Lactose transport system permease protein LacF
HFDHAJOI_00324	CDS	1461		3.2.1.67		Alpha-galacturonidase
HFDHAJOI_00325	CDS	915				hypothetical protein
HFDHAJOI_00326	CDS	843	kduI	5.3.1.17		4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase
HFDHAJOI_00327	CDS	2586				hypothetical protein
HFDHAJOI_00328	CDS	1824	dctB_1	2.7.13.3		C4-dicarboxylate transport sensor protein DctB
HFDHAJOI_00329	CDS	1350	dctD_1			C4-dicarboxylate transport transcriptional regulatory protein DctD
HFDHAJOI_00330	CDS	981				hypothetical protein
HFDHAJOI_00331	CDS	459				hypothetical protein
HFDHAJOI_00332	CDS	1506				hypothetical protein
HFDHAJOI_00333	CDS	1098				hypothetical protein
HFDHAJOI_00334	CDS	1395	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
HFDHAJOI_00335	CDS	678	qseB_2			Transcriptional regulatory protein QseB
HFDHAJOI_00336	CDS	927				hypothetical protein
HFDHAJOI_00337	CDS	234				hypothetical protein
HFDHAJOI_00338	CDS	747	bluF			Blue light- and temperature-regulated antirepressor BluF
HFDHAJOI_00339	CDS	2655	treY	5.4.99.15		Maltooligosyl trehalose synthase
HFDHAJOI_00340	CDS	300				hypothetical protein
HFDHAJOI_00341	CDS	855	RBKS	2.7.1.15		Ribokinase
HFDHAJOI_00342	CDS	1029	rafR_2			HTH-type transcriptional regulator RafR
HFDHAJOI_00343	CDS	786				hypothetical protein
HFDHAJOI_00344	CDS	1059	iolG_3	1.1.1.369		Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase
